LHS	RHS	LHS_supp_count	RULE_supp_count	LHS_supp	RULE_supp	RULE_conf	links
01-H. not owned	NO	687	486	0.4573901464713715	0.3235685752330226	0.7074235807860262	
02-Apart.	NO	505	371	0.3362183754993342	0.2470039946737683	0.7346534653465346	
01-H. not owned,02-Apart.	NO	460	340	0.3062583222370173	0.22636484687083888	0.7391304347826086	
01-H. not owned,03-Vechicl.=2	NO	404	288	0.26897470039946736	0.19174434087882822	0.7128712871287128	
01-H. not owned,08-Husb.:West Europe	NO	275	205	0.18308921438082557	0.13648468708388814	0.7454545454545455	
01-H. not owned,10-Husb.work.class=PrivateWorker	NO	554	393	0.36884154460719043	0.26165113182423433	0.7093862815884476	
01-H. not owned,11-Wife.work.class=PrivateWorker	NO	506	377	0.33688415446071907	0.25099866844207724	0.7450592885375494	
02-Apart.,03-Vechicl.=2	NO	287	216	0.1910785619174434	0.14380825565912117	0.7526132404181185	
02-Apart.,10-Husb.work.class=PrivateWorker	NO	419	311	0.2789613848202397	0.2070572569906791	0.7422434367541766	
02-Apart.,11-Wife.work.class=PrivateWorker	NO	372	288	0.24766977363515313	0.19174434087882822	0.7741935483870968	
01-H. not owned,02-Apart.,10-Husb.work.class=PrivateWorker	NO	382	286	0.25432756324900135	0.1904127829560586	0.7486910994764397	
01-H. not owned,02-Apart.,11-Wife.work.class=PrivateWorker	NO	341	266	0.2270306258322237	0.17709720372836218	0.7800586510263929	
01-H. not owned,03-Vechicl.=2,10-Husb.work.class=PrivateWorker	NO	316	228	0.2103861517976032	0.151797603195739	0.7215189873417721	
01-H. not owned,03-Vechicl.=2,11-Wife.work.class=PrivateWorker	NO	309	227	0.20572569906790947	0.1511318242343542	0.7346278317152104	
01-H. not owned,10-Husb.work.class=PrivateWorker,11-Wife.work.class=PrivateWorker	NO	426	321	0.2836218375499334	0.2137150466045273	0.7535211267605634	
02-Apart.,10-Husb.work.class=PrivateWorker,11-Wife.work.class=PrivateWorker	NO	322	254	0.21438082556591212	0.16910785619174434	0.7888198757763976	
01-H. not owned,02-Apart.,10-Husb.work.class=PrivateWorker,11-Wife.work.class=PrivateWorker	NO	293	234	0.19507323568575233	0.15579227696404793	0.7986348122866894	

